collection,sales,prior_sales,sales_delta,sales_wow,sessions,prior_sessions,units,prior_units,unit_conversion,prior_conversion,conversion_pp
1800 Bed Sheets,319520.21,406011.3200000015,-86491.1100000015,-0.21302635108794793,128542,166146,8249,10349,0.06417357750774066,0.06228858955376596,0.0018849879539747025
1800 Bed Sheet Set With DEEP Fitted Sheet,68437.00999999998,98299.08000000016,-29862.07000000018,-0.3037878889609153,24147,34255,1384,1972,0.057315608564210876,0.05756823821339951,-0.0002526296491886307
1800 Bed Sheet Set 6 PIECE,14563.649999999998,15830.259999999998,-1266.6100000000006,-0.08001195179359029,3425,3634,347,370,0.10131386861313868,0.10181618051733626,-0.0005023119041975832
1800 Pillowcase Set 2 pc,13803.27,13603.469999999998,199.8000000000029,0.014687429016273271,3353,3026,757,752,0.2257679689830003,0.24851288830138796,-0.022744919318387652
1800 Bedskirt,5962.6,5567.229999999998,395.3700000000026,0.07101736411105752,3074,2826,280,259,0.09108653220559532,0.09164897381457891,-0.0005624416089835965
1800 Fitted Sheet,4449.460000000001,3369.96,1079.500000000001,0.3203302116345597,1370,1313,218,169,0.1591240875912409,0.12871287128712872,0.03041121630411217
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,4277.54,3666.9300000000003,610.6099999999997,0.166518040977057,1498,1394,80,69,0.0534045393858478,0.04949784791965567,0.00390669146619213
1800 Duvet Cover Set,2842.1299999999997,2181.7200000000003,660.4099999999994,0.30270153823588697,2905,1140,80,60,0.027538726333907058,0.05263157894736842,-0.02509285261346136
Cotton Flannel Sheet Set 160GSM,2505.590000000001,2128.7000000000007,376.8900000000003,0.17705172170808484,606,672,47,42,0.07755775577557755,0.0625,0.015057755775577553
1800 Flat Sheet,2304.34,2115.6100000000006,188.72999999999956,0.08920831344151309,905,860,123,113,0.13591160220994475,0.1313953488372093,0.0045162533727354515
1800 Pillowcase Set 4 pc,2277.6600000000003,2161.32,116.34000000000015,0.053828216090167184,299,346,86,81,0.28762541806020064,0.23410404624277456,0.05352137181742608
1800 Pillow Shams 2 piece,1227.5400000000002,985.1900000000003,242.3499999999999,0.2459931586800514,638,566,82,66,0.12852664576802508,0.1166077738515901,0.011918871916434981
1800 Ultrasonic Coverlet,1104.27,1076.1000000000001,28.169999999999845,0.026177864510733055,1367,1345,21,20,0.015362106803218726,0.01486988847583643,0.0004922183273822957
"1800 Fitted Sheet 21"" Deep",1035.73,1516.9300000000003,-481.2000000000003,-0.31721964757767346,640,689,44,63,0.06875,0.09143686502177069,-0.022686865021770683
Cotton Flannel Sheet Set 180GSM,733.6400000000001,1084.46,-350.81999999999994,-0.3234974088486435,317,316,12,18,0.03785488958990536,0.056962025316455694,-0.01910713572655033
400TC Cotton Sheet Set,424.78999999999996,64.97,359.81999999999994,5.538248422348776,160,162,7,1,0.04375,0.006172839506172839,0.03757716049382716
Silk Pillowcase,87.13,273.28999999999996,-186.15999999999997,-0.6811811628672838,72,82,3,8,0.041666666666666664,0.0975609756097561,-0.05589430894308944
Velvet Ultrasonic Coverlet,66.61,84.94,-18.33,-0.21579938780315516,68,57,1,2,0.014705882352941176,0.03508771929824561,-0.020381836945304436
Mattress Pads Waterproof,45.46,0.0,45.46,,5,16,2,0,0.4,0.0,0.4
Faux Leather Pillow Cover,19.97,19.97,0.0,0.0,9,9,1,1,0.1111111111111111,0.1111111111111111,0.0
Microfiber Pillow Covers w/zipper,0.0,0.0,0.0,,4,7,0,0,0.0,0.0,0.0
Duvet Cover Set Flannel,0.0,0.0,0.0,,6,4,0,0,0.0,0.0,0.0
Ruffle Skirt Bedspread Solid,0.0,0.0,0.0,,20,27,0,0,0.0,0.0,0.0
Duvet Cover Set Faux Fur,0.0,0.0,0.0,,9,10,0,0,0.0,0.0,0.0
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,0.0,,5,13,0,0,0.0,0.0,0.0
Bundles,0.0,0.0,0.0,,120,140,0,0,0.0,0.0,0.0
Bundles_virtual,0.0,0.0,0.0,,979,943,0,0,0.0,0.0,0.0
Toddler 1800 Fitted Sheet,0.0,0.0,0.0,,2,1,0,0,0.0,0.0,0.0
Unmapped,0.0,0.0,0.0,,4,6,0,0,0.0,0.0,0.0
Ruffle Skirt Bedspread Ruffle,0.0,0.0,0.0,,13,7,0,0,0.0,0.0,0.0
