keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,9,10,1,70374,2051,116,46126.99,4288.5199999999995,35283.299999999996,0.3073320806160423
queen sheet set,"B00NLLUMOE, B0BTZ5HGMB",2,7,7,0,55215,1691,123,33803.09,4547.3099999999995,20283.83,0.6665043041674079
king size sheets set,B00NQDGAP2,1,15,11,-4,42106,1023,22,30679.769999999997,901.3399999999999,29750.079999999998,0.03124999999999996
queen bed sheets,B00NLLUMOE,1,12,13,1,35806,901,8,22515.989999999998,295.76,18017.789999999997,0.2496532593619973
king sheets,B00NQDGAP2,1,8,6,-2,22791,577,32,15400.130000000001,1311.04,13195.599999999999,0.16706553699718107
full size sheets,B00O35DAL4,1,18,22,4,38007,1093,6,14394.81,215.82,10071.21,0.42930293380835083
twin sheets set,B00O35CWQ8,1,12,12,0,32756,1318,4,13496.32,139.88,8621.37,0.5654495747195629
duvet cover,B079YXK5SN,1,84,54,-30,80814,488,0,13171.119999999999,0.0,11686.67,0.12702078521939944
sheets queen size bed set,B00NLLUMOE,1,10,8,-2,26914,524,13,13094.759999999998,480.61,10970.609999999999,0.19362186788154898
twin xl sheets,B016P42ARU,1,43,59,16,45670,1309,2,13090.0,69.94,11702.24,0.11858926154308921
king sheet set,"B00NQDGAP2, B0BTZ24S9W",2,8,7,-1,15474,467,16,12604.33,655.52,7748.0,0.6267849767681982
california king sheet sets,B00NQDGAP2,1,26,27,1,17166,422,0,12233.779999999999,0.0,6777.74,0.8049939950484969
bed sheets,B00NLLUMOE,1,8,15,7,64254,485,85,12120.15,3142.45,7892.709999999999,0.5356132431066137
pillow cases standard size,"B0822YG3V8, B08TRRPSQN",2,38,37,-1,19631,1007,1,12073.93,27.0,7505.74,0.6086261980830672
queen size sheets,B00NLLUMOE,1,15,22,7,17562,530,9,11919.699999999999,332.73,10695.72,0.1144364287771183
twin sheets,B00O35CWQ8,1,24,25,1,32098,1177,3,11770.0,102.81,9260.73,0.2709581210120585
sheets,"B00NQDGAP2, B0BTZ24S9W",2,8,9,1,52312,449,16,11220.509999999998,591.52,7771.889999999999,0.4437299035369774
