asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B00NLLUMOE,1800 Bed Sheets,Queen,White,240670.94000000003,70597.81,170073.13000000003,198665,29842,8224,1917,0.04139632043892986,0.0642383218282957,-0.02284200138936584,True
B00NQDGAP2,1800 Bed Sheets,King,White,153625.56,41314.100000000006,112311.45999999999,63461,10660,4634,1011,0.07302122563464175,0.0948405253283302,-0.021819299693688454,True
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,49176.829999999994,10890.240000000002,38286.59,23434,2827,1175,215,0.050140821029273704,0.07605235231694375,-0.02591153128767005,True
B00O35DAL4,1800 Bed Sheets,Full,White,48676.229999999996,17999.7,30676.529999999995,13477,3084,1649,512,0.12235660755360986,0.16601815823605706,-0.0436615506824472,True
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,38638.81999999999,7845.9,30792.91999999999,17449,2155,1008,168,0.057768353487305864,0.07795823665893271,-0.02018988317162685,True
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,28784.75,6191.35,22593.4,14951,1982,896,156,0.059929101732325595,0.07870837537840565,-0.018779273646080057,True
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,28764.309999999998,4382.08,24382.229999999996,12438,2069,825,102,0.06632899179932465,0.04929917834702755,0.0170298134522971,True
B016P42ARU,1800 Bed Sheets,Twin XL,White,25718.269999999997,5110.97,20607.299999999996,8597,2005,949,155,0.11038734442247296,0.0773067331670823,0.03308061125539066,True
B00O35CWQ8,1800 Bed Sheets,Twin,White,25573.510000000002,9317.39,16256.120000000003,105750,1214,734,267,0.006940898345153664,0.21993410214168038,-0.21299320379652673,True
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,23905.809999999998,4551.78,19354.03,18416,2798,743,114,0.04034535186794092,0.0407433881343817,-0.0003980362664407766,True
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,21609.07,4515.81,17093.26,15612,2590,674,113,0.04317191903663848,0.04362934362934363,-0.0004574245927051468,True
