collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,sales_delta,sales_wow,unit_conversion,prior_conversion,conversion_pp
1800 Bed Sheets,295289.5700000012,1337816.1599999978,113830,868088,7645,41854,-1042526.5899999966,-0.7792749266834976,0.06716155670737065,0.04821400595331349,0.018947550754057157
1800 Bed Sheet Set With DEEP Fitted Sheet,67737.62000000002,418092.59000000026,23302,198178,1379,10282,-350354.9700000002,-0.8379841651821669,0.05917946957342717,0.05188265095015592,0.007296818623271251
1800 Pillowcase Set 2 pc,13854.049999999994,34627.51,2932,11423,779,2193,-20773.460000000006,-0.5999120352575165,0.2656889495225102,0.1919810907817561,0.07370785874075411
1800 Bed Sheet Set 6 PIECE,10531.639999999998,40127.50000000001,3313,12912,247,1093,-29595.860000000008,-0.7375455734845182,0.07455478418351946,0.08464993804213135,-0.010095153858611886
1800 Bedskirt,4964.980000000002,8761.710000000001,2710,5671,237,475,-3796.7299999999987,-0.43333207787064376,0.08745387453874538,0.08375947804619996,0.0036943964925454237
1800 Fitted Sheet,3986.0300000000016,10819.14,1580,4423,203,617,-6833.109999999998,-0.6315760772113124,0.12848101265822784,0.13949807822744745,-0.011017065569219608
1800 Flat Sheet,3744.12,5253.06,1075,2564,196,324,-1508.9400000000005,-0.2872497173076265,0.18232558139534882,0.12636505460218408,0.05596052679316474
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,3162.310000000001,12848.899999999998,1427,5125,61,288,-9686.589999999997,-0.7538847683459283,0.042747021723896286,0.056195121951219514,-0.013448100227323227
1800 Duvet Cover Set,2742.0200000000004,6790.72,1078,2862,76,232,-4048.7,-0.5962107110880731,0.07050092764378478,0.08106219426974144,-0.010561266625956661
1800 Pillowcase Set 4 pc,2251.78,4819.49,393,912,88,207,-2567.7099999999996,-0.5327762896074065,0.22391857506361323,0.22697368421052633,-0.003055109146913093
Cotton Flannel Sheet Set 160GSM,1559.0700000000004,4503.5,612,1236,31,110,-2944.4299999999994,-0.6538092594648606,0.05065359477124183,0.0889967637540453,-0.038343168982803474
"1800 Fitted Sheet 21"" Deep",1506.93,3872.49,1071,2054,63,202,-2365.5599999999995,-0.6108627782124678,0.058823529411764705,0.09834469328140215,-0.03952116386963744
Cotton Flannel Sheet Set 180GSM,1257.9400000000003,2496.73,402,688,22,49,-1238.7899999999997,-0.49616498379880875,0.05472636815920398,0.07122093023255814,-0.01649456207335416
1800 Pillow Shams 2 piece,1197.3000000000002,1585.9500000000003,711,971,80,125,-388.6500000000001,-0.2450581670292254,0.11251758087201125,0.12873326467559218,-0.016215683803580933
1800 Ultrasonic Coverlet,934.49,1936.4799999999998,1498,2018,17,44,-1001.9899999999998,-0.5174285301165,0.011348464619492658,0.02180376610505451,-0.010455301485561851
400TC Cotton Sheet Set,394.81,697.6100000000001,213,368,7,13,-302.8000000000001,-0.43405341093160943,0.03286384976525822,0.035326086956521736,-0.002462237191263518
Duvet Cover Set Flannel,0.0,0.0,4,13,0,0,0.0,,0.0,0.0,0.0
Toddler 1800 Fitted Sheet,0.0,0.0,2,4,0,0,0.0,,0.0,0.0,0.0
Bundles,0.0,0.0,151,170,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Ruffle,0.0,0.0,5,9,0,0,0.0,,0.0,0.0,0.0
Mattress Pads Waterproof,0.0,36.36,3,25,0,2,-36.36,-1.0,0.0,0.08,-0.08
Microfiber Pillow Covers w/zipper,0.0,0.0,13,10,0,0,0.0,,0.0,0.0,0.0
Ruffle Skirt Bedspread Solid,0.0,59.97,18,25,0,1,-59.97,-1.0,0.0,0.04,-0.04
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,11,22,0,0,0.0,,0.0,0.0,0.0
Unmapped,0.0,0.0,5,6,0,0,0.0,,0.0,0.0,0.0
Velvet Ultrasonic Coverlet,0.0,253.72000000000003,60,97,0,4,-253.72000000000003,-1.0,0.0,0.041237113402061855,-0.041237113402061855
Bundles_virtual,0.0,0.0,878,2944,0,0,0.0,,0.0,0.0,0.0
Silk Pillowcase,0.0,597.61,101,387,0,19,-597.61,-1.0,0.0,0.04909560723514212,-0.04909560723514212
Duvet Cover Set Faux Fur,0.0,34.98,8,17,0,1,-34.98,-1.0,0.0,0.058823529411764705,-0.058823529411764705
Faux Leather Pillow Cover,0.0,43.910000000000004,6,15,0,3,-43.910000000000004,-1.0,0.0,0.2,-0.2
