asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp
B00NLLUMOE,1800 Bed Sheets,Queen,White,56047.14,46774.36,23226,15631,1525,1272,0.06565917506243003,0.08137675132749024,-0.015717576265060207
B00NQDGAP2,1800 Bed Sheets,King,White,38078.259999999995,33818.200000000004,7221,6638,936,832,0.12962193601994185,0.1253389575173245,0.004282978502617357
B00O35DAL4,1800 Bed Sheets,Full,White,16374.45,14198.249999999998,3250,2739,468,409,0.144,0.149324571011318,-0.005324571011318002
B00O35CWQ8,1800 Bed Sheets,Twin,White,8765.539999999999,7293.33,1376,1894,252,210,0.18313953488372092,0.11087645195353749,0.07226308293018344
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,8453.88,9833.130000000001,2282,1963,166,193,0.07274320771253287,0.09831889964340296,-0.025575691930870087
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,7089.65,7651.409999999999,1993,1727,152,163,0.07626693426994481,0.09438332368268675,-0.018116389412741934
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,6834.07,6635.02,2604,2184,171,167,0.06566820276497695,0.07646520146520147,-0.01079699870022452
B016P42ARU,1800 Bed Sheets,Twin XL,White,5548.470000000001,6615.51,1585,1388,168,200,0.10599369085173502,0.1440922190201729,-0.038098528168437895
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,5514.26,5511.860000000001,2556,2143,140,138,0.054773082942097026,0.06439570695286981,-0.009622624010772782
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4994.650000000001,4436.67,2197,1811,125,113,0.05689576695493855,0.0623964660408614,-0.00550069908592285
B00NLLUP4G,1800 Bed Sheets,Queen,Gray,4626.61,4125.33,1879,1376,119,104,0.0633315593400745,0.0755813953488372,-0.012249836008762699
B01DN0AJXQ,1800 Bed Sheets,Queen,Blue Hydrangea,3834.7200000000003,3116.8599999999997,1272,1145,96,79,0.07547169811320754,0.06899563318777292,0.006476064925434621
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,3735.81,4638.21,1667,1603,87,109,0.052189562087582485,0.06799750467872738,-0.015807942591144895
B00NLLUNSE,1800 Bed Sheets,Queen,Beige,3714.0099999999993,2995.35,1309,1083,93,75,0.07104660045836517,0.06925207756232687,0.001794522896038292
B00RKHWJ1O,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,White,3562.5000000000005,2663.0000000000005,1223,467,204,149,0.1668029435813573,0.31905781584582443,-0.15225487226446713
B08RZFVS95,1800 Bed Sheets,Queen,Sage,3189.6,3157.63,1268,1203,82,85,0.06466876971608833,0.07065669160432253,-0.005987921888234202
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,2956.98,3156.0299999999997,1491,1314,74,79,0.04963112005365526,0.06012176560121765,-0.010490645547562391
B0BTZ5HGMB,1800 Bed Sheet Set 6 PIECE,Queen,White,2888.37,2689.2599999999998,616,590,71,66,0.11525974025974026,0.11186440677966102,0.0033953334800792406
B08RZCYC5X,1800 Bed Sheets,King,Golden Ivory,2792.1899999999996,3221.03,1230,1263,65,75,0.052845528455284556,0.05938242280285035,-0.006536894347565797
B0CNRZBCFQ,1800 Bed Sheets,Queen,Sky Blue,2717.96,2398.2000000000003,968,900,69,60,0.07128099173553719,0.06666666666666667,0.004614325068870523
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,2621.17,3264.86,1224,1245,62,76,0.05065359477124183,0.06104417670682731,-0.01039058193558548
B0DGQSDWFD,1800 Bed Sheets,Queen,Mineral Gray,2516.5099999999998,2278.29,1147,1067,63,57,0.05492589363557106,0.053420805998125584,0.0015050876374454736
B01DN0AQN4,1800 Bed Sheets,King,Blue Hydrangea,2406.32,1845.1299999999999,714,766,56,44,0.0784313725490196,0.057441253263707574,0.020990119285312032
B01DN0AOW2,1800 Bed Sheets,Queen,Spa Mint,2317.46,2318.26,1587,1345,58,59,0.036546943919344675,0.04386617100371747,-0.007319227084372798
B00O35DNS4,1800 Bed Sheets,California King,White,2244.9,2155.86,478,545,50,48,0.10460251046025104,0.08807339449541285,0.016529115964838192
B07R5VP98P,1800 Bed Sheets,Queen,Pinstripe Gray,2237.52,2275.89,812,764,56,57,0.06896551724137931,0.07460732984293193,-0.005641812601552623
B00NQDGBTC,1800 Bed Sheets,King,Beige,2232.72,2102.95,637,583,52,49,0.08163265306122448,0.08404802744425385,-0.00241537438302937
B0822X9LJN,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Light Gray,2026.8300000000002,1351.2200000000003,416,378,39,26,0.09375,0.06878306878306878,0.02496693121693122
B08RZDH679,1800 Bed Sheets,King,Sage,2017.8700000000001,1888.9599999999998,767,769,47,44,0.061277705345501955,0.05721716514954486,0.004060540195957092
B0BMW9MMY9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Golden Ivory,1972.3600000000001,1455.1599999999999,463,391,39,28,0.08423326133909287,0.07161125319693094,0.012622008142161925
B07BKMXCYF,1800 Bed Sheets,Queen,Spa Blue,1956.9299999999998,1798.65,1020,999,49,45,0.04803921568627451,0.04504504504504504,0.0029941706412294697
B0822WWZJQ,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,White,1933.7099999999998,1394.07,474,570,43,31,0.09071729957805907,0.054385964912280704,0.03633133466577837
B01CYLCQEK,1800 Bed Sheets,Queen,Paisley Gray,1917.76,1159.13,1269,1101,49,29,0.038613081166272656,0.02633969118982743,0.012273389976445226
B01DN0AW8I,1800 Bed Sheets,King,Spa Mint,1847.71,2190.61,893,955,43,51,0.048152295632698766,0.05340314136125655,-0.005250845728557781
B00RKHX3E6,1800 Pillowcase Set 2 pc,Set of 2 King Size,White,1752.83,1526.3700000000001,219,252,99,85,0.4520547945205479,0.3373015873015873,0.1147532072189606
B016P42X2W,1800 Bed Sheets,Twin XL,Light Gray,1677.1599999999999,1503.71,473,438,48,43,0.1014799154334038,0.09817351598173515,0.0033063994516686485
B01DN0ALM0,1800 Bed Sheets,Queen,Emerald Green,1633.97,1598.7999999999997,637,670,41,40,0.06436420722135008,0.05970149253731343,0.004662714684036652
B00SUF39K0,1800 Bed Sheets,Full,Light Gray,1632.71,1707.89,389,395,43,45,0.11053984575835475,0.11392405063291139,-0.003384204874556637
B00NLNDP1Y,1800 Bed Sheets,Queen,Aqua,1597.9999999999998,1279.04,1065,964,40,33,0.03755868544600939,0.03423236514522822,0.0033263203007811715
B0822XQ9DZ,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,White,1558.06,1713.9700000000003,551,376,32,33,0.05807622504537205,0.08776595744680851,-0.029689732401436464
B07RC2W7Q8,1800 Bed Sheets,Queen,Laced Sky Blue,1558.03,1797.0500000000002,480,492,40,45,0.08333333333333333,0.09146341463414634,-0.00813008130081301
B0112XPNDW,1800 Bed Sheets,Queen,Tan,1554.8300000000002,1795.45,465,399,39,45,0.08387096774193549,0.11278195488721804,-0.02891098714528255
B00ZSGWAHC,1800 Bed Sheets,Queen,Striped White,1554.03,1558.83,649,677,39,39,0.060092449922958396,0.05760709010339734,0.0024853598195610574
B0822XGGJ6,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Light Gray,1545.0699999999997,1697.98,371,396,31,34,0.08355795148247978,0.08585858585858586,-0.0023006343761060727
B07RBZ1MYN,1800 Bed Sheets,King,Pinstripe Gray,1502.2299999999998,1203.1599999999999,487,461,36,28,0.07392197125256673,0.06073752711496746,0.013184444137599276
B08RZF62QM,1800 Bed Sheets,Full,Blush Pink,1480.8300000000002,1859.77,521,553,39,50,0.07485604606525911,0.09041591320072333,-0.015559867135464214
B00NQDGCW8,1800 Bed Sheets,King,Gray,1460.98,1589.8899999999999,569,603,34,37,0.05975395430579965,0.06135986733001658,-0.0016059130242169345
B0CLY99SL5,1800 Bed Sheets,Full,Ivory,1442.8600000000001,1214.28,609,534,38,32,0.06239737274220033,0.0599250936329588,0.0024722791092415264
B00ZSGVJE2,1800 Bed Sheets,King,Striped White,1417.15,1244.41,897,707,33,29,0.03678929765886288,0.04101838755304102,-0.00422908989417814
B08CZZ4SYJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Mint,1403.19,1299.25,449,420,27,25,0.060133630289532294,0.05952380952380952,0.0006098207657227739
B0822WT3R6,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Gray,1401.11,1766.98,285,297,27,34,0.09473684210526316,0.11447811447811448,-0.019741272372851323
B07BKP98B7,1800 Bed Sheets,King,Spa Blue,1374.1799999999998,1717.9399999999998,691,781,32,42,0.04630969609261939,0.05377720870678617,-0.0074675126141667825
B0BTZ7JCPL,1800 Bed Sheet Set 6 PIECE,Twin XL,White,1362.3599999999997,379.70000000000005,147,106,36,10,0.24489795918367346,0.09433962264150944,0.15055833654216402
B0822WBGD9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Beige,1351.2199999999998,1091.37,358,367,26,21,0.07262569832402235,0.05722070844686648,0.01540498987715587
B08RZDCWPX,1800 Bed Sheets,Queen,Teal,1319.01,1119.16,649,619,33,28,0.05084745762711865,0.045234248788368334,0.005613208838750314
