asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B00NLLUMOE,1800 Bed Sheets,Queen,White,50217.009999999995,56010.17,21487,23226,1367,1524,0.0636198631730814,0.06561611986566779,-0.001996256692586393,-5793.1600000000035,-0.10343050199633394
B00NQDGAP2,1800 Bed Sheets,King,White,34505.7,37914.38,16972,7221,851,933,0.05014140938015555,0.129206481096801,-0.07906507171664545,-3408.6800000000003,-0.08990467469071103
B00O35DAL4,1800 Bed Sheets,Full,White,17734.71,16338.48,3156,3250,507,467,0.16064638783269963,0.1436923076923077,0.01695408014039193,1396.2299999999996,0.08545654185701483
B0822X1VP7,1800 Bed Sheet Set With DEEP Fitted Sheet,King,White,9982.98,8453.880000000001,2379,2282,196,166,0.08238755779739386,0.07274320771253287,0.00964435008486099,1529.0999999999985,0.18087552697696185
B00O35CWQ8,1800 Bed Sheets,Twin,White,9646.82,8354.3,1487,1376,276,240,0.18560860793544048,0.1744186046511628,0.011190003284277689,1292.5200000000004,0.15471314173539383
B016P42ARU,1800 Bed Sheets,Twin XL,White,9077.8,5548.47,1647,1585,274,168,0.16636308439587127,0.10599369085173502,0.06036939354413626,3529.329999999999,0.6360906700405695
B0822X4TLW,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,White,7089.65,7089.650000000001,2456,1993,151,152,0.061482084690553745,0.07626693426994481,-0.014784849579391066,-9.094947017729282e-13,-1.2828485211158917e-16
B00SBZJ8NG,1800 Bed Sheets,Queen,Light Gray,6151.379999999999,6834.07,2184,2604,155,171,0.07097069597069597,0.06566820276497695,0.005302493205719017,-682.6900000000005,-0.0998950844811365
B0BTZ5HGMB,1800 Bed Sheet Set 6 PIECE,Queen,White,4816.25,2888.37,673,616,120,71,0.17830609212481427,0.11525974025974026,0.06304635186507401,1927.88,0.6674629635399898
B0CLYC7B2G,1800 Bed Sheets,Queen,Ivory,4794.8,5514.26,2435,2556,121,139,0.04969199178644764,0.05438184663536776,-0.004689854848920122,-719.46,-0.1304726291469753
B08RZDBZZJ,1800 Bed Sheets,Queen,Golden Ivory,4196.849999999999,4914.71,2059,2197,105,123,0.05099562894609033,0.05598543468365953,-0.0049898057375692,-717.8600000000006,-0.14606355207123117
B00NLLUP4G,1800 Bed Sheets,Queen,Gray,3993.0,4626.61,1506,1879,100,119,0.06640106241699867,0.0633315593400745,0.0030695030769241627,-633.6099999999997,-0.13694908367033307
B0CLYDPTWV,1800 Bed Sheets,King,Ivory,3650.73,3735.81,1899,1667,85,87,0.04476040021063718,0.052189562087582485,-0.007429161876945305,-85.07999999999993,-0.02277417748761311
B00NQDGCW8,1800 Bed Sheets,King,Gray,3522.6499999999996,1460.98,664,569,83,34,0.125,0.05975395430579965,0.06524604569420035,2061.6699999999996,1.4111555257429942
B01DN0AJXQ,1800 Bed Sheets,Queen,Blue Hydrangea,3475.79,3834.7200000000003,1338,1272,88,96,0.06576980568011959,0.07547169811320754,-0.009701892433087958,-358.9300000000003,-0.09360005424124845
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,3474.19,2956.98,1554,1491,87,74,0.055984555984555984,0.04963112005365526,0.006353435930900722,517.21,0.17491156517798565
B0BTZ24S9W,1800 Bed Sheet Set 6 PIECE,King,White,3419.0699999999997,1147.31,310,305,81,23,0.26129032258064516,0.07540983606557378,0.18588048651507139,2271.7599999999998,1.980075132265909
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,3299.23,2621.17,1223,1224,77,62,0.06295993458708095,0.05065359477124183,0.012306339815839118,678.06,0.25868600663062674
B08RZCYC5X,1800 Bed Sheets,King,Golden Ivory,3092.98,2749.2200000000003,1603,1230,72,64,0.044915782907049284,0.05203252032520325,-0.007116737418153968,343.75999999999976,0.12503910199983986
B00NLLUNSE,1800 Bed Sheets,Queen,Beige,2913.81,3714.01,1835,1309,74,93,0.040326975476839236,0.07104660045836517,-0.03071962498152593,-800.2000000000003,-0.21545445488838216
B08RZFVS95,1800 Bed Sheets,Queen,Sage,2636.42,3189.6,1291,1268,66,82,0.05112316034082107,0.06466876971608833,-0.013545609375267262,-553.1799999999998,-0.17343240531728113
B01DN0AOW2,1800 Bed Sheets,Queen,Spa Mint,2597.25,2317.46,1620,1587,66,58,0.040740740740740744,0.036546943919344675,0.004193796821396069,279.78999999999996,0.1207313179083997
B07R5VP98P,1800 Bed Sheets,Queen,Pinstripe Gray,2477.34,2237.52,834,812,62,56,0.07434052757793765,0.06896551724137931,0.005375010336558336,239.82000000000016,0.10718116486109629
B00O35DNS4,1800 Bed Sheets,California King,White,2425.6800000000003,2244.9,477,478,54,50,0.11320754716981132,0.10460251046025104,0.008605036709560282,180.7800000000002,0.08052919951890962
B0822WVF4H,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Gray,2298.62,1149.31,314,306,46,23,0.1464968152866242,0.07516339869281045,0.07133341659381374,1149.31,1.0
B0CNRZBCFQ,1800 Bed Sheets,Queen,Sky Blue,2198.35,2717.96,1235,968,55,69,0.044534412955465584,0.07128099173553719,-0.026746578780071605,-519.6100000000001,-0.19117647058823534
B016P42X2W,1800 Bed Sheets,Twin XL,Light Gray,2168.14,1677.1599999999999,443,473,62,48,0.1399548532731377,0.1014799154334038,0.038474937839733894,490.98,0.2927448782465597
B0822X9LJN,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Light Gray,2078.8,2026.8300000000002,400,416,41,39,0.1025,0.09375,0.008749999999999994,51.97000000000003,0.025641025641025654
B00NLNDRUI,1800 Bed Sheets,Queen,Brown,2078.44,879.3399999999999,442,390,52,22,0.11764705882352941,0.05641025641025641,0.061236802413273,1199.1000000000001,1.363636363636364
B08RZDCWPX,1800 Bed Sheets,Queen,Teal,2038.4699999999998,1319.01,709,649,51,33,0.07193229901269393,0.05084745762711865,0.021084841385575287,719.4599999999998,0.5454545454545453
B00RKHWJ1O,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,White,2023.1900000000003,3562.5,483,1223,113,204,0.23395445134575568,0.1668029435813573,0.06715150776439838,-1539.3099999999997,-0.4320870175438596
B0112XNCS0,1800 Bed Sheets,King,Tan,2014.43,1029.56,421,369,47,24,0.11163895486935867,0.06504065040650407,0.046598304462854595,984.8700000000001,0.9565931077353435
B00NQDGBTC,1800 Bed Sheets,King,Beige,1974.9,2232.7200000000003,685,637,46,52,0.06715328467153285,0.08163265306122448,-0.014479368389691633,-257.82000000000016,-0.11547350317102016
B01DN0AW8I,1800 Bed Sheets,King,Spa Mint,1932.79,1847.7099999999998,1103,893,46,43,0.04170444242973708,0.048152295632698766,-0.006447853202961686,85.08000000000015,0.046046186901624264
B0BMW9MMY9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Golden Ivory,1922.8899999999999,1972.3600000000001,461,463,37,39,0.08026030368763558,0.08423326133909287,-0.00397295765145729,-49.470000000000255,-0.02508162810034692
B01DN0AQN4,1800 Bed Sheets,King,Blue Hydrangea,1847.71,2406.32,865,714,43,56,0.04971098265895954,0.0784313725490196,-0.028720389890060066,-558.6100000000001,-0.23214285714285718
B07BKP98B7,1800 Bed Sheets,King,Spa Blue,1846.85,1374.1800000000003,814,691,43,32,0.052825552825552825,0.04630969609261939,0.006515856732933437,472.6699999999996,0.3439651282946918
B08RZDH679,1800 Bed Sheets,King,Sage,1804.74,1974.8999999999999,870,767,42,46,0.04827586206896552,0.05997392438070404,-0.011698062311738526,-170.15999999999985,-0.08616132462403153
B0822Y7786,1800 Bed Sheet Set With DEEP Fitted Sheet,Full,White,1790.99,1195.22,695,605,40,26,0.05755395683453238,0.04297520661157025,0.01457875022296213,595.77,0.4984605344622747
B00ZSGWAHC,1800 Bed Sheets,Queen,Striped White,1678.7400000000002,1554.0300000000002,595,649,42,39,0.07058823529411765,0.060092449922958396,0.01049578537115925,124.71000000000004,0.0802494160344395
B07R8X7VXT,1800 Bed Sheets,Full,Pinstripe Gray,1663.08,987.22,648,628,85,26,0.13117283950617284,0.041401273885350316,0.08977156562082253,675.8599999999999,0.6846093069427279
B0822XQ9DZ,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,White,1662.0,1558.06,616,551,33,32,0.05357142857142857,0.05807622504537205,-0.00450479647394348,103.94000000000005,0.06671116645058603
B08RZDLLP7,1800 Bed Sheets,King,Blush Pink,1589.03,1160.19,751,535,37,27,0.0492676431424767,0.05046728971962617,-0.0011996465771494727,428.8399999999999,0.36962911247295693
B08BZY7QCJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Tan,1559.1,1299.25,304,283,30,25,0.09868421052631579,0.08833922261484099,0.010344987911474798,259.8499999999999,0.19999999999999993
B01CYLCQEK,1800 Bed Sheets,Queen,Paisley Gray,1558.83,1917.7600000000002,1220,1269,39,49,0.031967213114754096,0.038613081166272656,-0.0066458680515185595,-358.9300000000003,-0.18716106290672463
B00O384OYI,1800 Bed Sheets,Full,Gray,1556.77,1176.31,315,296,41,31,0.13015873015873017,0.10472972972972973,0.02542900042900044,380.46000000000004,0.3234351488978246
B0CLY99SL5,1800 Bed Sheets,Full,Ivory,1556.01,1442.8600000000001,659,609,41,38,0.0622154779969651,0.06239737274220033,-0.00018189474523522958,113.14999999999986,0.07842063679081814
B0CNRXJ7ZB,1800 Bed Sheets,King,Sky Blue,1545.2,1074.25,584,509,36,25,0.06164383561643835,0.04911591355599214,0.012527922060446214,470.95000000000005,0.4383988829415872
B0DGQSDWFD,1800 Bed Sheets,Queen,Mineral Gray,1518.86,2516.5099999999998,1173,1147,38,63,0.03239556692242114,0.05492589363557106,-0.022530326713149917,-997.6499999999999,-0.3964418977075394
B00SUF39K0,1800 Bed Sheets,Full,Light Gray,1516.52,1632.71,438,389,41,43,0.09360730593607305,0.11053984575835475,-0.016932539822281698,-116.19000000000005,-0.07116389315922611
B0CNRZ4Y1C,1800 Bed Sheets,Queen,Blue Nova,1512.06,919.31,607,557,39,23,0.0642504118616145,0.04129263913824058,0.022957772723373918,592.75,0.6447770610566621
B08CZZ4SYJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Mint,1507.13,1403.19,456,449,29,27,0.06359649122807018,0.060133630289532294,0.0034628609385378845,103.94000000000005,0.07407407407407411
B0BMW6K3FD,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Sage,1507.1299999999999,1195.31,354,293,29,23,0.08192090395480225,0.07849829351535836,0.0034226104394438905,311.81999999999994,0.26086956521739124
B08RZCP48J,1800 Bed Sheets,Full,Golden Ivory,1480.0700000000002,1063.16,502,433,39,28,0.07768924302788845,0.06466512702078522,0.013024116007103223,416.9100000000001,0.3921422927875391
B07BKMXCYF,1800 Bed Sheets,Queen,Spa Blue,1478.8899999999999,1956.9299999999998,1041,1020,37,49,0.03554274735830932,0.04803921568627451,-0.012496468327965193,-478.03999999999996,-0.24428058234070713
B0112XPNDW,1800 Bed Sheets,Queen,Tan,1438.9199999999998,1554.8299999999997,511,465,36,39,0.07045009784735812,0.08387096774193549,-0.013420869894577372,-115.90999999999985,-0.07454834290565521
