source,asin,keyword,search_volume,organic_rank,sponsored_rank,cpr,iq_score,title_density,competing_products,keyword_sales,cpc,trend,notes
"get_keywords_by_asin","B00NLLUMOE","queen sheets","188972","18","2","252.31928000000002","9448.6","10","20000","1279","1.59","73","match_type=ppc|organic|sponsored|section-sponsored-video; score=93.61"
"get_keywords_by_asin","B00NQDGAP2","queen sheets","188972","18","2","252.31928000000002","9448.6","10","20000","1279","1.59","73","match_type=ppc|organic|sponsored|section-sponsored-video; score=93.61"
"get_keywords_by_asin","B00O35DAL4","queen sheets","188972","18","2","252.31928000000002","9448.6","10","20000","1279","1.59","73","match_type=ppc|organic|sponsored|section-sponsored-video; score=93.61"
"get_keywords_by_asin","B016P42ARU","queen sheets","188972","18","2","252.31928000000002","9448.6","10","20000","1279","1.59","73","match_type=ppc|organic|sponsored|section-sponsored-video; score=93.61"
"get_keywords_by_asin","B0822X1VP7","queen sheets","188972","18","2","252.31928000000002","9448.6","10","20000","1279","1.59","73","match_type=ppc|organic|sponsored|section-sponsored-video; score=93.61"
"get_keywords_by_asin","B00NLLUMOE","queen sheet set","112569","15","2","162.36348999999998","5628.45","13","20000","1173","1.68","12","match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=90.82"
"get_keywords_by_asin","B00NQDGAP2","queen sheet set","112569","15","2","162.36348999999998","5628.45","13","20000","1173","1.68","12","match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=90.82"
"get_keywords_by_asin","B00O35DAL4","queen sheet set","112569","15","2","162.36348999999998","5628.45","13","20000","1173","1.68","12","match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=90.82"
"get_keywords_by_asin","B016P42ARU","queen sheet set","112569","15","2","162.36348999999998","5628.45","13","20000","1173","1.68","12","match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=90.82"
"get_keywords_by_asin","B0822X1VP7","queen sheet set","112569","15","2","162.36348999999998","5628.45","13","20000","1173","1.68","12","match_type=organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=90.82"
"get_keywords_by_asin","B00NLLUMOE","king size sheets set","130261","17","19","182.45319","13026.1","10","10000","2372","1.72","44","match_type=ppc|organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=89.80"
"get_keywords_by_asin","B00NQDGAP2","king size sheets set","130261","17","19","182.45319","13026.1","10","10000","2372","1.72","44","match_type=ppc|organic|sponsored|section-sponsored-brand-header|section-sponsored-video; score=89.80"
