promo_label,orders,units,gross_item_sales,item_promo_discount,net_item_sales,shipping_promo_discount_excluded
LD,956,1080,45054.60000000002,7091.700000000001,37962.90000000002,619.1800000000006
4688cb01-4d13-4da0-969c-c0218abe470a,484,658,25128.089999999986,2453.4099999999994,22674.679999999986,292.6100000000002
3a997123-e65a-40e1-98cb-5f5b52c597fc,55,65,2086.4500000000007,230.36999999999998,1856.0800000000008,22.310000000000002
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC62),14,15,644.5500000000001,193.35,451.20000000000005,7.58
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC14),11,11,449.6700000000001,134.89,314.7800000000001,11.96
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC73),6,6,286.82,86.04,200.77999999999997,13.98
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC29),5,5,227.85,68.35,159.5,3.37
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC26),3,4,187.88,56.36,131.51999999999998,0.0
MPC-S Percentage Off 2026/07/17 13-59-51-95,4,5,97.85,48.940000000000005,48.90999999999999,0.0
ab56f037-ed4c-4c10-a9f7-82f12ba813e6,6,9,296.73,31.1,265.63,2.99
"3a997123-e65a-40e1-98cb-5f5b52c597fc,4688cb01-4d13-4da0-969c-c0218abe470a",9,9,355.72999999999996,28.130000000000003,327.59999999999997,18.39
e9d15c97-2b53-460d-9664-a633fe123829,6,11,379.6700000000001,27.8,351.87000000000006,0.0
"30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC62),4688cb01-4d13-4da0-969c-c0218abe470a",2,2,87.94,26.38,61.56,0.0
30% off BedSheets - Vika- Creators/DG - Back-To-School (ICONICDORM5),2,2,82.94,24.880000000000003,58.059999999999995,2.99
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC21),2,2,80.94,24.28,56.66,2.99
Duplicated A3JU1FCINF5SD0 1569460229772,3,3,110.91,21.0,89.91,49.120000000000005
"4688cb01-4d13-4da0-969c-c0218abe470a,3a997123-e65a-40e1-98cb-5f5b52c597fc",8,13,411.61000000000007,20.270000000000003,391.3400000000001,9.1
30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC20),1,1,51.97,15.59,36.379999999999995,0.0
"4688cb01-4d13-4da0-969c-c0218abe470a,30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC23)",1,1,51.97,15.59,36.379999999999995,0.0
30% off BedSheets - Vika- Creators/DG - Back-To-School (ICONICDORM25),1,1,49.97,14.99,34.98,0.0
"4688cb01-4d13-4da0-969c-c0218abe470a,30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC14)",1,1,42.97,12.89,30.08,0.0
"30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC11),4688cb01-4d13-4da0-969c-c0218abe470a",1,1,42.97,12.89,30.08,2.99
"4688cb01-4d13-4da0-969c-c0218abe470a,30% off BedSheets - Vika- Creators/DG - Back-To-School (BTSICONIC62)",1,1,40.97,12.29,28.68,2.99
"3a997123-e65a-40e1-98cb-5f5b52c597fc,e9d15c97-2b53-460d-9664-a633fe123829",1,1,49.97,5.0,44.97,0.0
