"source","asin","keyword","search_volume","organic_rank","sponsored_rank","cpr","iq_score","title_density","competing_products","keyword_sales","cpc","trend","notes"
"helium10:get_keywords_by_asin","B00NLLUMOE","king sheets","61115","","","99.21","3055.75","7","20000","1948","2.39","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","bed sheets","112573","18","12","163.97","2814.33","18","40000","1833","1.47","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","king size sheets set","133210","","","185.96","13321","10","10000","1789","2.03","12","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","queen sheet set","133034","16","","185.75","13303.4","10","10000","1621","1.77","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","bamboo sheets","133059","48","","185.78","33264.75","10","4000","1562","2.79","'-10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","twin xl sheets","193287","","","257.78","38657.4","11","5000","1535","1.6","13","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","sheets","100849","17","4","155.48","1008.49","35","100000","1519","1.74","'-22","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|sponsored|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","twin bed sheets","57927","43","","93.81","5792.7","2","10000","1448","1.29","10","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","full size bed sheets","46472","","","80.82","4647.2","4","10000","1373","1.55","9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","twin sheets set","60550","","","97.57","6055","4","10000","1308","1.29","'-11","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","deep pocket queen sheets","39269","","","74.82","3926.9","12","10000","1277","1.65","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","california king sheet sets","39251","","","74.15","7850.2","10","5000","1277","2.44","'-3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-brand-header|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","cooling blanket","308675","252","","400.23","15433.75","27","20000","1216","1.1","'-17","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","cooling blankets for hot sleepers","51269","76","","88.13","17089.67","9","3000","1184","1.17","21","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","cooling sheets","76711","37","","121.94","1917.78","20","40000","1173","2.39","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","queen size sheets","39264","51","6","70.95","1963.2","0","20000","1156","2.01","'-6","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|sponsored|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","blanket","233543","","","317.25","2335.43","47","100000","1140","1.02","3","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","sheets queen size bed set","71386","18","","109.82","7138.6","2","10000","1093","2.08","'-7","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","twin fitted sheet","27587","69","","64.77","2758.7","24","10000","1056","1.36","'-9","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","king size sheets","33596","","","68.06","1679.8","12","20000","1008","2.49","'-26","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","queen bed sheets","86474","16","","127.78","4323.7","2","20000","1006","1.73","'-2","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=ppc|organic|section-sponsored-video; balanced top-25 per ASIN; enriched_by=analyze_keywords"
"helium10:get_keywords_by_asin","B00NLLUMOE","fitted sheet queen","29865","36","","62.02","1493.25","7","20000","997","2.06","'-4","H10 estimates; keyword_sales=estimated weekly units; trend=30d search-volume pct; match_type=organic|section-sponsored-video|section-sponsored-brand-header; balanced top-25 per ASIN; enriched_by=analyze_keywords"
