collection,sales,prior_sales,sessions,prior_sessions,units,prior_units,unit_conversion,prior_conversion,conversion_pp,sales_delta,sales_wow
1800 Bed Sheets,281758.55000000034,294553.2900000009,106197,123767,7315,7659,0.06888141849581439,0.061882408073234384,0.006999010422580006,-12794.740000000573,-0.04343777657347006
1800 Bed Sheet Set With DEEP Fitted Sheet,72718.97999999998,71052.17000000004,20971,22752,1480,1445,0.0705736493252587,0.06351090014064698,0.007062749184611722,1666.8099999999395,0.02345895980376023
1800 Pillowcase Set 2 pc,13080.230000000001,11361.859999999997,2907,2939,730,633,0.2511179910560716,0.2153793807417489,0.03573861031432268,1718.3700000000044,0.1512402018683565
1800 Bed Sheet Set 6 PIECE,11039.510000000002,14077.909999999996,3142,3110,249,334,0.0792488860598345,0.10739549839228296,-0.02814661233244846,-3038.399999999994,-0.21582749143871463
1800 Bedskirt,4977.980000000001,5830.809999999998,3849,4110,235,278,0.06105481943361912,0.06763990267639902,-0.006585083242779899,-852.8299999999963,-0.14626269763549088
1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,4365.58,4676.279999999999,1487,1475,81,91,0.05447209145931405,0.06169491525423729,-0.007222823794923235,-310.6999999999989,-0.06644170152343294
1800 Fitted Sheet,4315.55,3423.9000000000015,1379,1531,216,171,0.15663524292965916,0.11169170476812541,0.04494353816153375,891.6499999999987,0.26041940477233516
1800 Duvet Cover Set,2664.8400000000006,2471.3500000000004,965,941,72,67,0.07461139896373056,0.07120085015940489,0.003410548804325675,193.49000000000024,0.07829324053654893
1800 Pillowcase Set 4 pc,2420.2799999999997,2203.2,428,390,92,83,0.21495327102803738,0.2128205128205128,0.0021327582075245655,217.07999999999993,0.09852941176470585
Cotton Flannel Sheet Set 160GSM,2181.71,1345.2200000000003,569,535,43,26,0.07557117750439367,0.048598130841121495,0.026973046663272174,836.4899999999998,0.621823939578656
"1800 Fitted Sheet 21"" Deep",2019.09,1810.770000000001,1062,993,85,76,0.0800376647834275,0.07653575025176233,0.003501914531665165,208.31999999999903,0.11504498086449351
1800 Flat Sheet,1975.8200000000004,1546.5400000000004,1014,1001,106,82,0.10453648915187377,0.08191808191808192,0.022618407233791854,429.28,0.27757445652876733
Cotton Flannel Sheet Set 180GSM,1409.2800000000002,305.85,337,303,25,5,0.07418397626112759,0.0165016501650165,0.05768232609611109,1103.4300000000003,3.6077488965179016
1800 Pillow Shams 2 piece,1197.6,1047.0000000000002,686,643,81,71,0.11807580174927114,0.1104199066874028,0.00765589506186834,150.59999999999968,0.1438395415472776
1800 Ultrasonic Coverlet,632.6399999999999,260.85,577,563,12,5,0.02079722703639515,0.008880994671403197,0.011916232364991952,371.78999999999985,1.4253018976423224
400TC Cotton Sheet Set,389.78999999999996,329.85,180,222,8,5,0.044444444444444446,0.02252252252252252,0.021921921921921925,59.93999999999994,0.18171896316507485
Silk Pillowcase,86.13,208.85,109,85,3,5,0.027522935779816515,0.058823529411764705,-0.03130059363194819,-122.72,-0.5875987550873834
Ruffle Skirt Bedspread Solid,59.97,0.0,20,12,1,0,0.05,0.0,0.05,59.97,
Velvet Ultrasonic Coverlet,39.97,107.94,74,60,1,2,0.013513513513513514,0.03333333333333333,-0.01981981981981982,-67.97,-0.6297016861219196
Microfiber Pillow Covers w/zipper,37.94,0.0,13,10,2,0,0.15384615384615385,0.0,0.15384615384615385,37.94,
Duvet Cover Set Faux Fur,34.98,0.0,12,10,1,0,0.08333333333333333,0.0,0.08333333333333333,34.98,
Bundles_virtual,0.0,0.0,1079,1207,0,0,0.0,0.0,0.0,0.0,
Toddler 1800 Fitted Sheet,0.0,0.0,2,5,0,0,0.0,0.0,0.0,0.0,
Ruffle Skirt Bedspread Ruffle,0.0,0.0,9,9,0,0,0.0,0.0,0.0,0.0,
Bundles,0.0,0.0,69,97,0,0,0.0,0.0,0.0,0.0,
Faux Leather Pillow Cover,0.0,0.0,6,13,0,0,0.0,0.0,0.0,0.0,
Mattress Pads Waterproof,0.0,0.0,6,14,0,0,0.0,0.0,0.0,0.0,
1800 Duvet Cover Set Velvet Stripe,0.0,0.0,10,7,0,0,0.0,0.0,0.0,0.0,
Duvet Cover Set Flannel,0.0,0.0,3,11,0,0,0.0,0.0,0.0,0.0,
Unmapped,0.0,0.0,7,7,0,0,0.0,0.0,0.0,0.0,
