keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
cooling blanket,,0,,,,127935,2816,0,62205.44,,,,61010,1,3.4871686143665767e-07,0.0
queen sheets,"B00NLLUMOE, B0BTZ5HGMB",2,14,16,2,67782,2367,48,42582.329999999994,1774.56,51023.6,-0.16543854216480225,29803,301,0.00017178816065674442,0.15946843853820597
king size sheets set,B00NQDGAP2,1,16,17,1,62275,1637,13,40908.63,532.61,41242.82,-0.008102986168259161,27829,130,8.070253418373112e-05,0.1
queen sheet set,B00NLLUMOE,1,13,12,-1,58840,2054,43,36437.96,1589.71,35422.31,0.028672607743537942,27126,274,0.00018396138690772324,0.15693430656934307
queen bed sheets,B00NLLUMOE,1,22,20,-2,38330,1346,17,28589.039999999997,628.49,23618.879999999997,0.21043165467625902,15403,114,0.00011186692154007387,0.14912280701754385
twin xl sheets,B016P42ARU,1,26,24,-2,71572,1654,6,28266.86,209.82,31869.739999999998,-0.1130501849089449,32280,67,3.386323397927873e-05,0.08955223880597014
birthday gifts for men,,0,,,,96068,1878,0,28151.22,,28555.95,-0.014173228346456677,20844,14,5.778865121700836e-06,0.0
bamboo sheets,,0,,,,54690,445,1,24475.0,36.97,28594.8,-0.14407514653013834,22607,14,9.539189032658096e-06,0.07142857142857142
duvet cover,B079YXK5SN,1,68,,,122053,757,0,19288.36,,17249.96,0.11816838995568694,53940,8,2.5350325656620966e-06,0.0
king sheets,B00NQDGAP2,1,13,14,1,27705,735,25,16860.9,1024.25,21590.03,-0.2190423079541806,12683,196,0.00027405573119047854,0.12755102040816327
queen size comforter sets,,0,,,,35377,496,0,15857.119999999999,,,,15192,1,1.17309208303615e-06,0.0
